ZIP,STATE,TOTAL_DEPOSITS,BRANCH_COUNT,LAT,LON,AVG_DEPOSIT_PER_BRANCH,NORM_DEPOSIT_BASE,NORM_BRANCH_DENSITY,OPPORTUNITY_SCORE,CAPTURE_PCT,EXPECTED_CAPTURE_USD
07311,NJ,23978023000,1,40.7172232954423,-74.0342559888253,23978023000.0,23.803058719532846,0.24325897449780715,14.184531641920584,0.1,2397802300.0
92122,CA,24543231000,6,32.869896836518336,-117.20934966449134,4090538500.0,24.364142475802065,1.459553846986843,14.034663946686502,0.1,2454323100.0
15219,PA,25329067000,13,40.440312730625166,-79.99425220843955,1948389769.2307692,25.144244340410452,3.162366668471493,13.821599936857673,0.1,2532906700.0
28282,NC,22681044000,1,35.2247980168205,-80.84517902734,22681044000.0,22.515543593911314,0.24325897449780715,13.412022566547664,0.1,2268104400.0
80202,CO,25796412000,24,39.74980685615435,-104.99603220610692,1074850500.0,25.60817918930438,5.838215387947372,13.029621358403679,0.1,2579641200.0
06103,CT,22491700000,8,41.766714065296625,-72.67543005958997,2811462500.0,22.327581210599263,1.9460717959824572,12.618120007966574,0.1,2249170000.0
90017,CA,21590683000,17,34.04975558710139,-118.25981782010852,1270040176.4705882,21.433138805639633,4.135402566462721,11.20572225679869,0.1,2159068300.0
98101,WA,21616485000,21,47.60978316814969,-122.3354293826001,1029356428.5714285,21.45875253205408,5.1084384644539504,10.831876133450868,0.1,2161648500.0
78701,TX,20853633000,18,30.26829861116984,-97.74583205475747,1158535166.6666667,20.70146695641204,4.378661540960529,10.669415557463013,0.1,2085363300.0
21202,MD,19091792000,10,39.28714734381647,-76.60893672434312,1909179200.0,18.952481863792833,2.4325897449780713,10.39845322028447,0.1,1909179200.0
97204,OR,18367752000,8,45.51653249911805,-122.67796248904338,2295969000.0,18.233725082414715,1.9460717959824572,10.161806331055846,0.1,1836775200.0
89101,NV,17586119000,4,36.16783225963255,-115.13647799153651,4396529750.0,17.45779554910312,0.9730358979912286,10.08546297026538,0.1,1758611900.0
77027,TX,20534328000,23,29.744483164428107,-95.44883198915637,892796869.5652174,20.38449188034174,5.594956413449564,9.992712562825218,0.1,2053432800.0
35203,AL,18762294000,15,33.51891506326351,-86.80165783863637,1250819600.0,18.625388164618027,3.6488846174671075,9.715679051783972,0.1,1876229400.0
96813,HI,17729382000,9,21.30784713579472,-157.86159088701345,1969931333.3333333,17.600013179027673,2.1893307704802645,9.684275599224497,0.1,1772938200.0
33016,FL,17041431000,8,25.898098226604162,-80.32885474936889,2130178875.0,16.917082061263656,1.9460717959824572,9.371820518365212,0.1,1704143100.0
27601,NC,16334431000,6,35.77631799773142,-78.63914766285531,2722405166.6666665,16.215240941388604,1.459553846986843,9.145323026038424,0.1,1633443100.0
95113,CA,17071505000,11,37.33436536724078,-121.8930653643889,1551955000.0,16.946936615491552,2.6758487194758787,9.09782248150458,0.1,1707150500.0
63101,MO,15692721000,7,38.628776433315515,-90.19291598002972,2241817285.714286,15.578213409514463,1.70281282148465,8.665802917114817,0.1,1569272100.0
73118,OK,16147168000,12,35.527225084615516,-97.53602441052719,1345597333.3333333,16.029344373310582,2.919107693973686,8.449963546396875,0.1,1614716800.0
11001,NY,14770711000,4,40.72816723758738,-73.70614579585668,3692677750.0,14.662931187539929,0.9730358979912286,8.408544353327464,0.1,1477071100.0
50309,IA,15492216000,9,41.58889923318699,-93.62681967840848,1721357333.3333333,15.379171466458526,2.1893307704802645,8.35177057168301,0.1,1549221600.0
85012,AZ,15590031000,11,33.49413426641325,-112.07300118334256,1417275545.4545455,15.476272724083106,2.6758487194758787,8.215424146659512,0.1,1559003100.0
02903,RI,16394944000,16,41.82350388812992,-71.41315389548576,1024684000.0,16.275312386490445,3.8921435919649143,8.2083299951083,0.1,1639494400.0
